"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Clarke University","Dubuque","IA",1,42.509475,-90.690487,0.6816,0,0,0.0347,0,782,0.0217,52899,39600,39600,18032,10662,6649,0.7,0.5494,0.7185,0.07,154,10,"Private Nonprofit"
"Cornell College","Mount Vernon","IA",1,41.924554,-91.423741,0.8066,0.0432,0,0,0.0703,1074,0.0028,64336,50634,50634,14311,12613,7938,1,0.7167,0.6354,0.0037,2,12,"Private Nonprofit"
"Dordt University","Sioux Center","IA",1,43.082527,-96.166562,0.7116,0.0087,0,0.0523,0.0058,1547,0.0116,49722,35960,35960,14818,11610,7100,0.5833,0.6533,0.4321,0.0142,234,14,"Private Nonprofit"
"Drake University","Des Moines","IA",1,41.60129,-93.652163,0.6413,0.0153,0,0,0.0724,2669,0.0251,62407,49944,49944,20676,13252,10201,0.6813,0.7731,0.4709,0.0333,1802,10,"Private Nonprofit"
"University of Dubuque","Dubuque","IA",1,42.49726,-90.693428,0.8692,0,0,0,0.0132,1473,0.148,51060,40065,40065,26499,13342,8193,1,0.4105,0.7022,0.153,318,11,"Private Nonprofit"
"Faith Baptist Bible College and Theological Seminary","Ankeny","IA",1,41.737082,-93.624422,0.4968,0,0,0,0,371,0.1024,30354,19530,19530,8173,6342,5672,0.4167,0.6105,0.2573,0.0541,68,15,"Private Nonprofit"
"Graceland University-Lamoni","Lamoni","IA",3,40.615966,-93.924893,0.8322,0.0049,0,0,0.0245,901,0.0366,46850,33220,33220,11594,11079,6845,1,0.3834,0.7331,0.1153,293,14,"Private Nonprofit"
"Grand View University","Des Moines","IA",1,41.620039,-93.600954,0.9838,0,0,0.0667,0.0077,1472,0.0754,46188,33450,33450,12918,7321,8618,0.4973,0.5579,0.6889,0.1281,313,12,"Private Nonprofit"
"Iowa State University","Ames","IA",1,42.026212,-93.648504,0.8913,0.0116,0,0.0017,0.0225,25033,0.0397,23309,10497,27683,13067,11904,12403,0.8504,0.7547,0.4591,0.0343,4845,18,"Public"
"University of Iowa","Iowa City","IA",1,41.661935,-91.536425,0.8467,0.0137,0,0.0068,0.0681,21691,0.0553,26883,10964,32927,15953,15155,12956,0.8747,0.7306,0.4168,0.0503,7912,15,"Public"
"Loras College","Dubuque","IA",1,42.503908,-90.679023,0.9183,0.0034,0,0.0709,0.0236,1087,0.0258,48380,38298,38298,13184,8117,6845,0.7273,0.6985,0.5932,0.0513,83,12,"Private Nonprofit"
"Maharishi International University","Fairfield","IA",1,41.017781,-91.967306,0.969,0,0,0,0,774,0.5375,28730,16530,16530,13291,7541,3713,0.9367,0.1765,0.6432,0.7516,1889,13,"Private Nonprofit"
"Mercy College of Health Sciences","Des Moines","IA",1,41.594559,-93.626238,0.9878,0,0,0,0,905,0.4906,30844,17328,17328,19410,9180,5902,0.4085,0.4857,0.6381,0.5039,2,7,"Private Nonprofit"
"Morningside University","Sioux City","IA",1,42.473891,-96.359464,0.7057,0.004,0,0,0.0202,1166,0.0506,50429,38190,38190,12862,7816,7288,1,0.5284,0.688,0.0552,981,12,"Private Nonprofit"
"Mount Mercy University","Cedar Rapids","IA",1,42.001931,-91.650991,0.7876,0.0094,0,0.0314,0.0126,1135,0.1366,52436,39070,39070,13138,7745,6542,1,0.5588,0.5696,0.173,266,13,"Private Nonprofit"
"University of Northern Iowa","Cedar Falls","IA",1,42.514923,-92.459703,0.944,0.01,0,0.0377,0.0427,7599,0.0828,21627,9728,21272,6585,11206,8608,0.7512,0.6894,0.4381,0.093,1279,17,"Public"
"Northwestern College","Orange City","IA",1,42.999007,-96.058772,0.8701,0.004,0,0.0607,0.0202,1125,0.0951,48447,35300,35300,12828,8280,7550,1,0.6357,0.5418,0.0899,519,14,"Private Nonprofit"
"Saint Ambrose University","Davenport","IA",1,41.54065,-90.579854,0.7332,0.009,0,0.0235,0.0144,2101,0.0795,50018,35598,35598,18281,8791,7725,1,0.6285,0.6667,0.114,589,11,"Private Nonprofit"
"Simpson College","Indianola","IA",1,41.365503,-93.563471,0.8888,0.0038,0,0.0189,0.0679,1130,0.0354,58937,46212,46212,13064,13019,6901,0.5064,0.6566,0.7045,0.0553,23,11,"Private Nonprofit"
"Upper Iowa University","Fayette","IA",1,42.838283,-91.799543,0.9338,0,0,0.0783,0.0942,2021,0.4295,48422,19000,19000,8996,4010,6309,1,0.4147,0.4901,0.6462,598,22,"Private Nonprofit"
"Waldorf University","Forest City","IA",1,43.262923,-93.641714,0.726,0,0,0,0,2103,0.2882,38035,25220,25220,7496,1819,5619,0.3358,0.2897,0.3865,0.6321,461,22,"Proprietary"
"Wartburg College","Waverly","IA",1,42.7277,-92.483387,0.9941,0.0062,0,0.0154,0.0769,1446,0.0228,61832,51040,51040,16284,10922,7111,1,0.6682,0.6399,0.0096,18,13,"Private Nonprofit"
"William Penn University","Oskaloosa","IA",1,41.310111,-92.647095,0.5701,0,0,0.0264,0.083,1391,0.0424,40749,28750,28750,10089,5393,6383,1,0.2924,0.8818,0.2208,87,13,"Private Nonprofit"
"Baker University","Baldwin City","KS",2,38.778712,-95.187346,0.921,0.0103,0,0,0.0275,1080,0.1463,48117,33900,33900,12999,8387,6838,0.2327,0.5938,0.4407,0.1139,488,12,"Private Nonprofit"
"Benedictine College","Atchison","KS",1,39.573079,-95.113858,0.7645,0.0166,0,0,0.0687,2236,0.0103,50820,34800,34800,14257,8004,8032,0.9855,0.6507,0.63,0.0125,74,15,"Private Nonprofit"
"Emporia State University","Emporia","KS",1,38.414784,-96.179021,0.9774,0.0113,0,0,0.0366,2328,0.067,20527,7356,15669,6538,8472,7089,0.9005,0.543,0.6062,0.1053,2246,17,"Public"
"Fort Hays State University","Hays","KS",1,38.872156,-99.342503,0.9177,0.0151,0,0.0147,0.1093,9792,0.54,19114,5633,16811,6275,6273,7883,0.4993,0.4785,0.27,0.2392,2637,14,"Public"
"Barclay College","Haviland","KS",1,37.62012,-99.105351,0.5449,0,0,0,0,161,0.236,40190,26590,26590,23574,10296,5336,0.5122,0.5517,0.6184,0.3804,24,7,"Private Nonprofit"
"Friends University","Wichita","KS",1,37.678459,-97.367048,0.5564,0.0091,0,0,0.0091,1015,0.0768,44401,32748,32748,11299,5004,6838,0.3296,0.6149,0.5,0.0945,467,14,"Private Nonprofit"
"University of Kansas","Lawrence","KS",1,38.958549,-95.247567,0.882,0.0137,0,0.0187,0.0414,19857,0.0838,25215,11700,29412,13522,22848,11081,0.7799,0.6879,0.3736,0.0693,7710,17,"Public"
"Newman University","Wichita","KS",1,37.672643,-97.37768,0.4761,0.0133,0,0.0222,0,857,0.0455,44081,35500,35500,10752,6358,6497,1,0.5377,0.18,0.0855,389,13,"Private Nonprofit"
"Kansas State University","Manhattan","KS",1,39.188648,-96.581077,0.7936,0.0078,0,0.0094,0.0445,14835,0.0889,25441,10942,27816,11942,14631,10621,0.9,0.7047,0.3664,0.0909,4632,18,"Public"
"Kansas Wesleyan University","Salina","KS",1,38.813795,-97.607973,0.8498,0.04,0,0.016,0.008,894,0.0391,45683,33470,33470,13936,5801,6133,1,0.3846,0.7358,0.0467,52,13,"Private Nonprofit"
"MidAmerica Nazarene University","Olathe","KS",1,38.875244,-94.781526,0.7346,0.0036,0,0,0,977,0.0706,53495,36120,36120,15086,7637,6757,0.214,0.4615,0.5306,0.1502,354,10,"Private Nonprofit"
"Ottawa University-Ottawa","Ottawa","KS",4,38.603173,-95.264187,0.8003,0,0,0.0075,0.0301,935,0.0503,51340,35300,35300,12115,2618,6523,0.9211,0.2872,0.8535,0.0374,119,15,"Private Nonprofit"
"Pittsburg State University","Pittsburg","KS",1,37.392071,-94.702473,0.8817,0.0124,0,0.0186,0.0151,4162,0.0682,22426,8008,19692,5834,9012,7735,0.6667,0.5758,0.4451,0.0931,1296,15,"Public"
"University of Saint Mary","Leavenworth","KS",1,39.279396,-94.906743,0.8984,0.0126,0,0,0.0566,889,0.0934,45313,33890,33890,14084,9123,6801,0.5115,0.4406,0.7353,0.1222,399,12,"Private Nonprofit"
"Southwestern College","Winfield","KS",1,37.248608,-96.975405,0.6497,0.0028,0,0,0.0479,1026,0.386,53677,38480,38480,12093,7970,6357,1,0.3351,0.4892,0.3988,101,11,"Private Nonprofit"
"Sterling College","Sterling","KS",1,38.219937,-98.208644,0.5303,0,0,0,0.0215,569,0.1107,44836,32200,32200,9907,6798,5086,0.4653,0.2903,0.4971,0.1147,27,9,"Private Nonprofit"
"Tabor College","Hillsboro","KS",1,38.34858,-97.199773,0.6462,0,0,0,0.0449,530,0.0113,48360,35050,35050,14740,7982,6015,0.6458,0.3289,0.5744,0.0086,83,15,"Private Nonprofit"
"Wichita State University","Wichita","KS",1,37.718882,-97.292361,0.9494,0.0114,0,0.0279,0.0165,10493,0.1901,21064,9322,19240,8905,8755,8979,0.6312,0.5143,0.3488,0.223,3885,20,"Public"
"Asbury University","Wilmore","KY",1,37.862029,-84.662606,0.6406,0,0,0.0564,0.0338,1369,0.1096,46209,33640,33640,12941,11704,7012,0.4703,0.65,0.4284,0.138,304,12,"Private Nonprofit"
"Bellarmine University","Louisville","KY",1,38.219279,-85.704997,0.9359,0.0063,0,0,0.0443,2286,0.0293,60247,47180,47180,16640,11101,8511,0.4914,0.6775,0.5237,0.0634,642,13,"Private Nonprofit"
"Brescia University","Owensboro","KY",1,37.769041,-87.111639,0.3461,0.0061,0,0.2866,0.0122,538,0.1059,41865,30450,30450,11456,10039,5746,0.6286,0.4597,0.5681,0.2323,87,8,"Private Nonprofit"
"Campbellsville University","Campbellsville","KY",1,37.343342,-85.348943,0.9833,0.0033,0,0.0949,0.0213,2641,0.0954,40924,26990,26990,8799,5074,6329,0.4176,0.4713,0.2068,0.1156,5598,21,"Private Nonprofit"
"University of the Cumberlands","Williamsburg","KY",1,36.737048,-84.161646,0.7139,0.0024,0,0.0692,0.0016,5468,0.2233,24654,9875,9875,8671,2569,6359,0.217,0.4624,0.6916,0.385,14236,19,"Private Nonprofit"
"Eastern Kentucky University","Richmond","KY",1,37.740845,-84.300796,0.7809,0.0143,0,0.0358,0.0231,11674,0.1482,22265,10130,20820,6824,9508,7646,0.5663,0.4974,0.4277,1,2282,15,"Public"
"Georgetown College","Georgetown","KY",1,38.207615,-84.553767,0.7388,0.0282,0,0,0.0565,1180,0.0051,56297,42010,42010,6484,4648,6625,0.5188,0.4754,0.528,0.01,263,15,"Private Nonprofit"
"Kentucky State University","Frankfort","KY",1,38.201427,-84.855402,0.9255,0.0108,0,0.0486,0.0162,1317,0.1002,21023,9214,13260,9717,6215,6891,0.6149,0.2714,0.5503,0.0744,143,14,"Public"
"University of Kentucky","Lexington","KY",1,38.038911,-84.504747,0.9238,0.0117,0,0.0153,0.0382,23189,0.0606,32291,13212,33406,13516,12578,11693,0.8267,0.6993,0.348,0.0554,8773,17,"Public"
"Kentucky Christian University","Grayson","KY",1,38.338805,-82.945561,0.6238,0,0,0.0139,0,438,0.0411,38893,25000,25000,3917,6184,4911,0.4328,0.3377,0.5926,0.0497,38,12,"Private Nonprofit"
"University of Louisville","Louisville","KY",1,38.216862,-85.760412,0.8054,0.01,0,0.0201,0.0498,14187,0.1735,30843,12828,29174,12692,16848,9254,0.5639,0.6068,0.2852,0.1475,5945,14,"Public"
"Midway University","Midway","KY",1,38.146126,-84.678142,0.9518,0,0,0,0,1250,0.1248,41400,26080,26080,11860,5385,7286,0.2708,0.4638,0.6234,0.1683,258,15,"Private Nonprofit"
"Morehead State University","Morehead","KY",1,38.186768,-83.434021,0.8212,0.0124,0,0.0444,0.0355,4689,0.0834,22758,9838,14706,3773,9539,7578,0.7217,0.4769,0.3428,0.066,560,14,"Public"
"Murray State University","Murray","KY",1,36.612419,-88.323629,0.8617,0.017,0,0.0401,0.0352,6646,0.0901,21475,9708,19452,6742,9998,7536,0.7845,0.5953,0.3663,0.0875,1963,16,"Public"
"Northern Kentucky University","Highland Heights","KY",1,39.029714,-84.463483,0.9603,0.0099,0,0.0332,0.0272,8065,0.1689,19471,10896,21480,9885,9875,8664,0.9701,0.4828,0.3091,0.1645,5034,18,"Public"
"Spalding University","Louisville","KY",1,38.242407,-85.757725,0.9864,0,0,0.0718,0,597,0.1407,43474,27850,27850,16505,11341,8298,0.642,0.5732,0.5737,0.2166,821,11,"Private Nonprofit"
"Thomas More University","Crestview Hills","KY",1,39.022963,-84.568923,0.9703,0.009,0,0,0.0149,1305,0.0529,46342,38400,38400,14394,6817,6601,0.54,0.4011,0.597,0.0428,124,14,"Private Nonprofit"
"Union College","Barbourville","KY",1,36.870875,-83.888477,0.5504,0.0061,0,0,0,736,0.0462,44375,30946,30946,9866,5694,5029,1,0.3603,0.6483,0.1194,392,14,"Private Nonprofit"
"Western Kentucky University","Bowling Green","KY",1,36.985035,-86.456828,0.9705,0.0123,0,0.0233,0.0612,12267,0.0935,23520,11436,27000,6718,9539,8011,0.6886,0.5367,0.3625,0.0939,2169,18,"Public"
"Centenary College of Louisiana","Shreveport","LA",1,32.483335,-93.730834,0.5442,0.0305,0,0,0.1221,615,0.0033,57929,40000,40000,11373,12151,7591,0.434,0.593,0.6748,0.0145,28,9,"Private Nonprofit"
"Dillard University","New Orleans","LA",1,29.996587,-90.06464,0.4051,0.0405,0,0.0315,0.0676,1111,0.036,36057,22194,22194,7084,7528,7291,0.626,0.451,0.9297,0.0573,5,11,"Private Nonprofit"
"Grambling State University","Grambling","LA",1,32.523797,-92.713245,0.2368,0.0061,0,0.0501,0.0182,4144,0.1064,25100,7683,16706,4860,4729,6374,0.8629,0.3234,0.7709,0.1164,835,25,"Public"
"Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",1,30.414986,-91.178921,0.74,0.0178,0,0.0066,0.0744,29207,0.0494,34328,11954,28631,12549,15006,11234,0.889,0.7096,0.2956,0.0496,6844,20,"Public"
"Louisiana State University-Shreveport","Shreveport","LA",1,32.428465,-93.70561,0.8272,0.0069,0,0,0.0138,2150,0.2567,19233,7327,20481,8140,7438,9335,0.6827,0.3321,0.3164,0.272,7188,27,"Public"
"Louisiana Christian University","Pineville","LA",1,31.324528,-92.425973,0.8379,0.0108,0,0.0484,0,750,0.0413,30564,19740,19740,10025,8949,6201,0.64,0.4128,0.595,0.0648,147,10,"Private Nonprofit"
"Louisiana Tech University","Ruston","LA",1,32.528297,-92.649963,0.7257,0.0119,0,0,0.0307,7819,0.0574,24405,10125,16866,8748,7697,8887,0.633,0.5762,0.2865,0.027,1026,22,"Public"
"Loyola University New Orleans","New Orleans","LA",1,29.936141,-90.120417,0.8772,0.0169,0,0,0.1382,2999,0.061,61837,47240,47240,17444,11193,8882,0.5956,0.6742,0.5375,0.069,1146,13,"Private Nonprofit"
"McNeese State University","Lake Charles","LA",1,30.178187,-93.217222,0.6755,0.0074,0,0,0.0304,4846,0.0957,21168,8460,9960,6371,5120,7597,1,0.5201,0.3091,0.1293,500,18,"Public"
"University of New Orleans","New Orleans","LA",1,30.027704,-90.067142,0.6677,0.0355,0,0,0.0377,4479,0.1529,22605,9172,14008,7295,6962,9144,0.6452,0.4251,0.2819,0.1653,1125,18,"Public"
"Nicholls State University","Thibodaux","LA",1,29.794486,-90.801571,0.9602,0.0189,0,0,0.0197,4772,0.1062,21519,8173,9266,5517,6464,6985,1,0.5429,0.4306,0.1046,568,17,"Public"
"University of Louisiana at Monroe","Monroe","LA",1,32.527748,-92.07374,0.7456,0.0089,0,0.0107,0.025,4891,0.1916,23552,9190,21290,7258,7610,7998,0.7864,0.506,0.3474,0.0997,1722,16,"Public"
"Northwestern State University of Louisiana","Natchitoches","LA",1,31.750666,-93.097797,0.9374,0.003,0,0.0321,0,5840,0.2592,24496,8864,19652,5405,6892,7186,0.6903,0.4463,0.3668,0.222,949,16,"Public"
"University of Holy Cross","New Orleans","LA",1,29.912003,-89.99445,0.9901,0,0,0,0,405,0.3457,28380,16160,16160,13744,10141,7700,0.4037,0.3582,0.3579,0.2469,346,6,"Private Nonprofit"
"Franciscan Missionaries of Our Lady University","Baton Rouge","LA",1,30.401379,-91.110587,0.8294,0,0,0,0,826,0.4407,27314,15690,15690,15351,13015,8005,1,0.5132,0.4853,0.3434,342,10,"Private Nonprofit"
"Southeastern Louisiana University","Hammond","LA",5,30.514652,-90.468676,0.9428,0.0059,0,0.0254,0.013,9514,0.1522,22647,8373,20851,6064,6787,7364,0.8386,0.448,0.3437,0.0704,1177,20,"Public"
"Southern University and A & M College","Baton Rouge","LA",1,30.524558,-91.190105,0.4987,0.0057,0,0.03,0.0544,5323,0.1086,26076,9940,17198,6563,5475,7535,0.9907,0.2845,0.701,0.0833,1500,21,"Public"
"Southern University at New Orleans","New Orleans","LA",1,30.026162,-90.044912,0.6021,0,0,0.1156,0,1095,0.1772,20893,7490,16390,2915,6831,7041,1,0.1786,0.378,0.3271,286,13,"Public"
"University of Louisiana at Lafayette","Lafayette","LA",1,30.212191,-92.020165,0.8883,0.0114,0,0,0.0254,12269,0.1056,24631,10418,24146,9631,9198,8915,0.7488,0.52,0.4359,0.1068,2166,18,"Public"
"Tulane University of Louisiana","New Orleans","LA",1,29.940069,-90.122144,0.1459,0.0088,0,0,0.1548,7759,0.0483,83761,65538,65538,37707,34542,12908,0.6987,0.8891,0.2092,0.0442,5001,8,"Private Nonprofit"
"Xavier University of Louisiana","New Orleans","LA",1,29.964162,-90.107307,0.7448,0.0696,0,0,0.0603,2534,0.0324,39183,27868,27868,13816,9875,9727,0.7885,0.5021,0.5464,0.0162,590,11,"Private Nonprofit"
"College of the Atlantic","Bar Harbor","ME",1,44.395258,-68.221517,0.6502,0,0,0,0,358,0.0419,56334,46179,46179,43909,16734,8972,1,0.6923,0.4987,0.0639,7,10,"Private Nonprofit"
"University of Maine at Farmington","Farmington","ME",1,44.666911,-70.147121,0.9763,0.0357,0,0,0.0571,1131,0.1141,24103,10989,23079,6233,12934,8306,0.7265,0.5275,0.448,0.0791,345,12,"Public"
"University of Maine at Fort Kent","Fort Kent","ME",1,47.250389,-68.589319,0.9907,0,0,0.0046,0,638,0.4843,18532,9045,14325,6573,8941,7831,0.549,0.3984,0.2085,0.2704,49,19,"Public"
"University of Maine","Orono","ME",2,44.899257,-68.669332,0.9571,0.0175,5e-04,0.0116,0.0603,8341,0.1283,26418,12606,35346,11250,12488,11151,0.6955,0.5643,0.4284,0.0994,2493,15,"Public"
"University of Maine at Presque Isle","Presque Isle","ME",1,46.672285,-68.016343,0.9709,0,0,0.0186,0.0531,1362,0.3869,18663,8990,14270,3884,6505,7805,0.4103,0.3766,0.2537,0.4182,35,28,"Public"
"University of New England","Biddeford","ME",1,43.458591,-70.38535,0.8884,0,0,0.0055,0.0109,2189,0.011,60706,42550,42550,26334,12177,9082,0.5098,0.6083,0.5315,0.2423,2610,12,"Private Nonprofit"
"Maine College of Art & Design","Portland","ME",1,43.655743,-70.261015,0.7755,0,0,0,0,415,0.0169,57027,41398,41398,22699,15293,6915,0.2857,0.4874,0.7079,0.0616,52,8,"Private Nonprofit"
"Saint Joseph's College of Maine","Standish","ME",1,43.826314,-70.483373,0.8172,0,0.004,0.0158,0.004,930,0.1968,58452,42834,42834,12063,7375,6398,1,0.6855,0.597,0.2276,404,10,"Private Nonprofit"
"University of Southern Maine","Portland","ME",1,43.662863,-70.274247,0.7931,0.0074,0,0.0232,0.1225,4245,0.2097,21381,10920,27104,8379,10292,10710,0.4018,0.4634,0.3406,0.1978,2008,14,"Public"
"Thomas College","Waterville","ME",1,44.524909,-69.664734,0.9707,0,0,0,0.0191,688,0.0102,43757,30896,30896,7329,4453,7542,0.4783,0.5136,0.3395,0.0101,88,23,"Private Nonprofit"
"Unity Environmental University","New Gloucester","ME",3,43.905745,-70.257277,0.818,0,0,0,0.0263,5619,0.0254,20915,12640,12640,10896,1939,5404,0.0684,0.5698,0.5157,0.5834,704,36,"Private Nonprofit"
"University of Baltimore","Baltimore","MD",1,39.305834,-76.616591,0.8555,0,0,0.0499,0.0394,1276,0.4569,27477,9772,23490,13814,17600,13190,0.5599,0.4673,0.3996,0.637,1809,10,"Public"
"Bowie State University","Bowie","MD",1,39.018185,-76.759721,0.8354,0.0012,0,0.0363,0.0409,5207,0.1598,24302,8999,19889,4882,8890,10830,0.4429,0.3814,0.4087,0.1615,1120,16,"Public"
"Capitol Technology University","Laurel","MD",1,39.046673,-76.850231,0.7794,0,0,0,0,259,0.1583,40900,27318,27318,25156,6700,5193,0.1242,0.4667,0.6611,0.1992,636,9,"Private Nonprofit"
"Washington Adventist University","Takoma Park","MD",1,38.986349,-77.000608,0.4536,0,0,0,0,522,0.1494,34570,25200,25200,17266,19229,6032,0.247,0.4,0.5412,0.2463,90,7,"Private Nonprofit"
"Coppin State University","Baltimore","MD",1,39.311258,-76.658687,0.4956,0,0,0.0541,0.0511,1756,0.2073,20152,7001,13789,1074,16912,9486,0.5766,0.2559,0.4183,0.2873,291,10,"Public"
"Frostburg State University","Frostburg","MD",1,39.650918,-78.934293,0.8944,0.0097,0,0.0166,0.0345,2849,0.1646,26500,9998,25180,4992,11403,8848,0.6809,0.5207,0.3779,0.0981,731,13,"Public"
"Goucher College","Baltimore","MD",1,39.410175,-76.594843,0.729,0.0144,0,0,0.1442,948,0.0316,68893,51250,51250,14250,15642,8122,0.5789,0.6,0.5115,0.0228,536,8,"Private Nonprofit"
"Hood College","Frederick","MD",1,39.420631,-77.419049,0.7813,0.0077,0,0.0385,0.05,1202,0.025,59174,45870,45870,15114,10790,8181,0.405,0.5529,0.6373,0.0562,869,11,"Private Nonprofit"
"Johns Hopkins University","Baltimore","MD",1,39.328977,-76.621595,0.0756,0.0286,0,0,0.1137,5617,0.0032,81300,63340,63340,28423,91301,18373,0.965,0.9463,0.1145,0.0504,24273,6,"Private Nonprofit"
"Loyola University Maryland","Baltimore","MD",1,39.346358,-76.621872,0.7633,0.0102,0,0,0.0966,3975,0.0055,71606,55480,55480,19503,12143,9511,1,0.8049,0.5271,0.0055,1120,12,"Private Nonprofit"
"University of Maryland-Baltimore County","Baltimore","MD",1,39.256686,-76.711607,0.7424,0.011,0,0.0323,0.0882,10434,0.1304,27935,12952,30308,11257,14495,12619,0.6672,0.7055,0.2915,0.1031,3658,18,"Public"
"University of Maryland-College Park","College Park","MD",1,38.988178,-76.944721,0.4484,0.0162,0,0.0124,0.1216,30246,0.062,28073,11505,40306,15411,19532,16391,0.8169,0.8862,0.2269,0.0481,10205,18,"Public"
"Maryland Institute College of Art","Baltimore","MD",1,39.308792,-76.621033,0.7729,0,0,0,0,1319,0.0591,71366,55150,55150,32463,18957,9575,0.1556,0.7133,0.402,0.0861,537,8,"Private Nonprofit"
"University of Maryland Eastern Shore","Princess Anne","MD",1,38.207386,-75.686852,0.9036,0.0066,0,0,0.0625,2165,0.0494,27799,8898,19728,5661,21282,10559,0.7125,0.3464,0.5184,0.0828,611,9,"Public"
"Morgan State University","Baltimore","MD",1,39.344161,-76.585565,0.8296,0.0114,0,0.055,0.0602,8293,0.0745,24778,8118,18800,6940,9410,11055,0.6207,0.4161,0.6533,0.0984,1508,17,"Public"
"Mount St. Mary's University","Emmitsburg","MD",1,39.681705,-77.351887,0.7186,0.0024,0,0,0.1638,1806,0.0526,62078,47240,47240,14297,10040,8100,1,0.5802,0.5965,0.0566,626,12,"Private Nonprofit"
"Ner Israel Rabbinical College","Baltimore","MD",1,39.388021,-76.753526,0.7941,0,0,0,0,292,0,25650,14400,14400,4718,12064,7528,1,0.439,0,0.0856,157,20,"Private Nonprofit"
"Notre Dame of Maryland University","Baltimore","MD",1,39.350612,-76.619739,0.8649,0.0119,0,0,0.0158,684,0.2193,60362,41910,41910,17212,15555,7926,0.3509,0.5195,0.7742,0.3469,1150,8,"Private Nonprofit"
"Salisbury University","Salisbury","MD",1,38.34648,-75.604815,0.8863,0.0167,0.0049,0.0624,0.0432,6056,0.0481,26134,10638,21332,6946,10854,10145,0.6977,0.6745,0.3962,0.071,749,13,"Public"
"St. Mary's College of Maryland","St. Mary's City","MD",1,38.188047,-76.430994,0.7539,0.0447,0,0.0137,0.2199,1566,0.014,31319,15236,31312,11278,17853,8799,0.7302,0.6804,0.4222,0.019,10,10,"Public"
"St. John's College","Annapolis","MD",1,38.981598,-76.491359,0.4429,0,0,0,0,488,0.002,52683,39126,39126,14144,14954,8988,0.9306,0.6741,0.4935,0.0348,90,8,"Private Nonprofit"
"Towson University","Towson","MD",1,39.393622,-76.611164,0.828,0.0138,0,0.0226,0.094,16400,0.1149,26621,11306,28326,6967,9092,9513,0.5591,0.6762,0.4312,0.0951,3010,14,"Public"
"Stevenson University","Owings Mills","MD",1,39.426413,-76.775809,0.832,0.0094,0,0,0,3027,0.0905,57322,39708,39708,13298,10313,8699,0.301,0.6642,0.47,0.0935,479,15,"Private Nonprofit"
"McDaniel College","Westminster","MD",1,39.584231,-77.001992,0.8358,0.0107,0,0.0483,0.0804,1652,0.0079,62974,49647,49647,13438,9886,8097,0.2357,0.6376,0.6127,0.0198,1217,13,"Private Nonprofit"
"Hult International Business School","Cambridge","MA",1,42.369968,-71.070645,0.5335,0,0,0,0,694,0,74875,54890,54890,28569,8072,10825,0.3429,0.6582,0.085,0.0303,1309,12,"Private Nonprofit"
"American International College","Springfield","MA",1,42.112346,-72.558338,0.969,0,0,0,0.0561,1097,0.0283,55463,42970,42970,13178,6746,7944,0.1573,0.4228,0.8055,0.0744,811,16,"Private Nonprofit"
"Anna Maria College","Paxton","MA",1,42.330542,-71.91896,0.8956,0,0,0.0752,0.0038,948,0.1224,61106,43064,43064,12449,7749,7192,0.2805,0.4044,0.6324,0.1849,337,13,"Private Nonprofit"
"Assumption University","Worcester","MA",1,42.294226,-71.828991,0.8654,0.0128,0,0,0.0684,1664,0.0072,61777,49414,49414,16337,12772,9542,0.5125,0.7459,0.8421,0.0083,358,11,"Private Nonprofit"
"Babson College","Wellesley","MA",1,42.297017,-71.264057,0.1974,0,0,0,0,2696,0.0022,77248,56032,56032,37289,15202,19491,1,0.9236,0.2601,0.0033,1191,16,"Private Nonprofit"
"Bay Path University","Longmeadow","MA",1,42.055088,-72.583382,0.735,0,0,0,0,1186,0.3415,47064,37227,37227,15478,8322,9298,0.1413,0.5694,0.8395,0.5141,1365,7,"Private Nonprofit"
"Bentley University","Waltham","MA",1,42.385995,-71.222839,0.4844,0,0,0.0021,0.0072,4288,0.0107,77082,58150,58150,33780,15476,15685,0.6613,0.8821,0.4268,0.0048,914,12,"Private Nonprofit"
"Berklee College of Music","Boston","MA",1,42.346646,-71.089405,0.4991,0,0,0,0,7510,0.1979,69874,50270,50270,32673,19733,10565,0.34,0.6635,0.326,0.1705,840,10,"Private Nonprofit"
"Boston College","Chestnut Hill","MA",1,42.336213,-71.169242,0.1565,0.0118,0,0,0.185,9865,0.0165,83683,67680,67680,41258,26033,17441,0.5993,0.9099,0.3199,0.0204,5197,13,"Private Nonprofit"
"Boston University","Boston","MA",1,42.351118,-71.107942,0.1085,0.0183,0,4e-04,0.1521,17850,0.0104,82694,65168,65168,35774,33815,16124,0.6934,0.8997,0.2261,0.0294,17968,10,"Private Nonprofit"
"Brandeis University","Waltham","MA",1,42.365727,-71.260155,0.3531,0.0249,0,0.0928,0.19,3663,0.0019,82123,64946,64946,27494,20729,14477,0.7261,0.8611,0.2834,0.0038,1627,11,"Private Nonprofit"
