"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Inter American University of Puerto Rico-Arecibo","Arecibo","PR",1,18.47509,-66.75901,0.3778,0.0222,0,0.0726,0,2275,0.1626,14628,5580,5580,5106,3672,5516,1,0.3537,0.1354,0.2594,231,26,"Private Nonprofit"
"Inter American University of Puerto Rico-Barranquitas","Barranquitas","PR",1,18.182777,-66.303153,0.6583,0,0,0,0,919,0.1697,14358,5542,5542,5181,4938,5016,1,0.3837,0.111,0.1962,74,23,"Private Nonprofit"
"Inter American University of Puerto Rico-Metro","San Juan","PR",1,18.368988,-66.077711,0.6644,0.0083,0,0.0249,0.0166,2692,0.2541,15252,5580,5580,5243,4813,5891,1,0.316,0.1815,0.3049,1516,19,"Private Nonprofit"
"Inter American University of Puerto Rico-Ponce","Mercedita","PR",1,18.007388,-66.578498,0.7029,0,0,0,0,2602,0.201,14845,5580,5580,5693,3727,5563,1,0.4311,0.1803,0.2611,487,22,"Private Nonprofit"
"Inter American University of Puerto Rico-Fajardo","Fajardo","PR",1,18.329222,-65.648052,0.3556,0,0,0.029,0,1149,0.201,14991,5580,5580,6159,3862,5182,1,0.3285,0.1338,0.2341,96,23,"Private Nonprofit"
"Inter American University of Puerto Rico-Guayama","Guayama","PR",1,17.96635,-66.108164,0.485,0.0289,0,0,0,1661,0.1644,15791,5580,5580,5666,3019,4726,1,0.3936,0.2648,0.423,107,25,"Private Nonprofit"
"Inter American University of Puerto Rico-Bayamon","Bayamon","PR",1,18.351631,-66.182473,0.3642,0.005,0,0,0,3453,0.1772,14935,5580,5580,5601,3077,5500,1,0.3301,0.1439,0.1365,55,28,"Private Nonprofit"
"University of Puerto Rico-Arecibo","Arecibo","PR",1,18.469199,-66.74114,0.6226,0,0,0,0.0163,2788,0.0592,18320,5324,5324,500,5955,8055,0.8341,0.5068,0.0449,0.0262,9,18,"Public"
"University of Puerto Rico-Mayaguez","Mayaguez","PR",1,18.211142,-67.139172,0.5217,0.0355,0,0,0.0304,9564,0.0997,19190,5274,5274,1824,6629,8597,0.9472,0.4696,0.0875,0.0613,861,19,"Public"
"University of Puerto Rico-Rio Piedras","San Juan","PR",1,18.402826,-66.050009,0.532,0.0286,0,0.0314,0.0851,8748,0.112,13337,5324,5324,2241,10324,6119,0.7308,0.5248,0.0555,0.0544,2620,12,"Public"
"Universidad del Sagrado Corazon","Santurce","PR",1,18.441166,-66.059617,0.5341,0.0041,0,0.0055,0.0123,4042,0.142,19550,6360,6360,7657,4447,4089,0.2177,0.436,0.2192,0.1471,561,21,"Private Nonprofit"
"Universidad Central Del Caribe","Bayamon","PR",1,18.366171,-66.153758,0.6154,0,0,0,0,90,0.1444,14697,6442,6602,31173,10928,4037,0.6441,0.5909,0.1964,0.3111,468,10,"Private Nonprofit"
"Pontifical Catholic University of Puerto Rico-Mayaguez","Mayaguez","PR",3,18.182375,-67.145695,0.973,0,0,0.0336,0.0252,597,0.1692,15334,6238,6238,18715,14534,4018,0.6875,0.4211,0.2671,0.1958,88,14,"Private Nonprofit"
"University of the Virgin Islands","Charlotte Amalie","VI",2,18.344193,-64.972866,0.9744,0.0262,0,0.0052,0,1431,0.2921,16582,5612,15521,8795,11478,7040,1,0.2857,0.1691,0.2527,231,10,"Public"
"Stanford University","Stanford","CA",1,37.429434,-122.167359,0.0391,0.0445,0,0.0102,0.1551,7841,0,82162,62484,62484,29280,140522,24226,0.99,0.9282,0.0629,0.0165,10392,6,"Private Nonprofit"
"Purdue University-Main Campus","West Lafayette","IN",11,40.428206,-86.914435,0.503,0.0167,0,0,0.0432,39637,0.0496,22567,9992,28794,18481,20528,14107,0.9669,0.831,0.2321,0.0274,13041,14,"Public"
"EDP University of Puerto Rico Inc-San Juan","San Juan","PR",6,18.415375,-66.055403,0.7714,0,0,0,0,1258,0.4913,12983,7050,14125,9185,3535,2686,0.94,0.2362,0.4664,0.7297,106,17,"Private Nonprofit"
"St. John's College","Santa Fe","NM",1,35.666974,-105.912478,0.4946,0,0,0,0,369,0.0379,53018,38946,38946,12676,16533,9334,0.7213,0.6,0.4258,0.0678,78,7,"Private Nonprofit"
"Landmark College","Putney","VT",1,42.977172,-72.512549,0.4365,0,0,0,0,480,0.1833,81895,64290,64290,46786,15505,7020,1,0.2651,0.2291,0.092,52,7,"Private Nonprofit"
"ECPI University","Virginia Beach","VA",17,36.842526,-76.178773,0.829,0,0,0,0,11270,0,27999,18484,18484,17627,9788,6685,0.3502,0.447,0.518,0.6899,360,12,"Proprietary"
"New College of Florida","Sarasota","FL",1,27.384925,-82.55858,0.74,0,0,0,0,707,0.0226,20732,6916,29944,9,23376,9439,0.845,0.6181,0.1734,0.0479,22,8,"Public"
"University of Advancing Technology","Tempe","AZ",1,33.377712,-111.976087,0.9541,0,0,0,0,892,0.4933,31353,19430,19430,21525,5610,6574,0.6735,0.3929,0.7606,0.417,68,14,"Proprietary"
"California State University-San Marcos","San Marcos","CA",1,33.130569,-117.159013,0.957,0.0076,0,0,0.199,14174,0.1657,21144,7739,19619,5606,8479,10830,0.4793,0.5418,0.296,0.1775,1185,21,"Public"
"University of Washington-Bothell Campus","Bothell","WA",3,47.759773,-122.191293,0.9177,0.0182,0,0,0.0224,5228,0.1373,24462,12559,41913,4274,6826,12836,0.6358,0.6822,0.2022,0.128,561,21,"Public"
"University of Washington-Tacoma Campus","Tacoma","WA",3,47.244594,-122.438541,0.8295,0,0,0.0325,0.0525,3989,0.1118,24528,12817,42171,4866,7772,11832,0.8087,0.6226,0.2968,0.2307,763,15,"Public"
